English sentence,Swahili Translation
My wife went to the farm.,Mke wangu alikwenda shamba.
His money is in the bank.,Fedha zake ni katika benki.
It surprises me.,Ananishangaza.
The girls work.,Wasichana wanafanya kazi.
Pua sang at church.,Pua aliimba kanisani.
Pua is singing at church.,Pua anaimba kanisani.
I finished writing.,Nilimaliza kuandika.
He is inside this house.,Yeye ni ndani ya nyumba hii.
The birds are red.,Ndege ni mwekundu.
The stone is heavy.,Jiwe ni zito.
Are you anxious?,"Je, una wasiwasi?"
The man wants to know the truth.,Mtu anataka kujua ukweli.
The woman wants to know the truth.,Mwanamke anataka kujua ukweli.
The boy wants to know the truth.,Mvulana anataka kujua ukweli.
The girl wants to know the truth.,Msichana anataka kujua ukweli.
Nobody knows the truth.,Hakuna anayejua ukweli.
Melanie is not a fortune teller.,Melanie si mpigaramli.
Millie is drinking water.,Millie ananywa maji.
Millie isn't drinking water.,Millie hanywi maji.
It was the truth.,Ulikuwa ukweli.
You can tell the truth.,Unaweza kusema ukweli.
You can't go there.,Huwezi kwenda huko.
Millie loves chocolate.,Millie anapenda chokoleti.
Millie will tell us the truth.,Millie atatusema ukweli.
Millie is very cute.,Millie ni mzuri sana.
"I love you, Millie!","Ninakupenda, Millie!"
Millie has beautiful eyes.,Millie ana macho mazuri.
Millie has green eyes.,Millie ana macho ya kijani.
Millie has blue eyes.,Millie ana macho ya bluu.
She'll pass the exam for sure.,Atapita mtihani kwa hakika.
Millie is learning Swahili.,Millie anajifunza Kiswahili.
Millie is hungry.,Millie ana njaa.
Millie loves him.,Millie anampenda.
Millie is going to school.,Millie anakwenda shule.
Millie loves me.,Millie ananipenda.
Millie has a cat.,Millie ana paka.
Millie has a dog.,Millie ana mbwa.
Millie is eating bread.,Millie anakula mkate.
Millie is listening to music.,Millie anasikiliza muziki.
Millie is eating a banana.,Millie anakula ndizi.
Millie has a book.,Millie ana kitabu.
Millie is reading her book.,Millie anasoma kitabu chake.
I'm reading my book.,Ninasoma kitabu changu.
I'm going on a trip.,Ninaenda katika safari.
Millie is eating an apple.,Millie anakula tufaha.
Millie isn't eating an apple.,Millie hali tufaha.
I like your body.,Ninapenda mwili wako.
You don't have brown eyes.,Huna macho ya kahawia.
He doesn't have a gun.,Yeye hana bunduki.
Does she have a new computer?,"Je, ana kompyuta npya?"
The girl has a white horse.,Msichana ana farasi nyeupe.
She has red flowers.,Ana maua mekundu.
The boy has a horse.,Mvulana ana farasi.
We didn't come.,Hatukuja.
The book isn't new.,Kitabu si kipya.
Your cat is black.,Paka wako ni mweusi.
I have a Twitter account.,Nina akaunti ya Twitter.
My brother has a Twitter account.,Ndugu yangu ana akaunti ya Twitter.
I want to go fishing.,Ninataka kwenda uvuvi.
The library is to the right.,Maktaba ni upande wa kulia.
The library is to the left.,Maktaba ni upande wa kushoto.
I will say.,Nitasema.
She attacked the enemy.,Alishambulia adui.
I can read.,Ninaweza kusoma.
There are students in the library.,Kuna wanafunzi maktabani.
What can we drink?,Tunaweza kunywa nini?
I don't want to go to the bank.,Sitaki kwenda benki.
The students sit at the desk.,Wanafunzi wanakaa mezani.
I'm Tibetan.,Mimi ni Mtibeti.
I'm not Tibetan.,Mimi si Mtibeti.
That was a very sad story.,Hiyo ilikuwa hadithi ya kusikitika sana.
Hamisi uses sugar.,Hamisi anatumia sukari.
Hamisi wants sugar.,Hamisi anataka sukari.
My friend wants sugar.,Rafiki yangu anataka sukari.
My friend wants milk.,Rafiki yangu anataka maziwa.
My friend uses sugar.,Rafiki yangu anatumia sukari.
Hamisi doesn't want sugar.,Hamisi hapendi sukari.
Hamisi doesn't use sugar.,Hamisi hatumii sukari.
Hamisi doesn't use milk.,Hamisi hatumii maziwa.
My friend doesn't use milk.,Rafiki yangu hatumii maziwa.
My friend doesn't use sugar.,Rafiki yangu hatumii sukari.
My friend doesn't want sugar.,Rafiki yangu hapendi sukari.
The children use sugar.,Watoto wanatumia sukari.
There is not enough bread.,Mkate hautoshi.
There is not enough milk.,Maziwa hayatoshi.
There is not enough fruit.,Matunda hayatoshi.
There are not enough oranges.,Machungwa hayatoshi.
There are not enough mangoes.,Maembe hayatoshi.
There are not enough mangoes.,Embe hazitoshi.
There's not enough food.,Chakula hakitoshi.
There is not enough butter.,Siagi haitoshi.
There is not enough meat.,Nyama haitoshi.
There is not enough tea.,Chai haitoshi.
There is not enough coffee.,Kahawa haitoshi.
There is not enough gruel.,Uji hautoshi.
There are not enough bananas.,Ndizi hazitoshi.
I want to be an actress.,Ninataka kuwa mchezaji.
He is not a child.,Yeye si mtoto.
Give me fire.,Nipe moto.
He brought me coffee.,Alinileta kahawa.
It is Anita's house.,Ni nyumba ya Anita.
This is my third week.,Hii ni wiki yangu ya tatu.
She's boiling eggs in the kitchen.,Anachemka mayai jikoni.
I sleep naked.,Nalala uchi.
There are islands in the sea.,Kuna visiwa katika bahari.
The fish can swim.,Samaki anaweza kuogelea.
There are a lot of big cities in Brazil.,Kuna miji mingi mikubwa katika Brazil.
"The Russian language is a Slavic language spoken natively in Russia, Belarus, Ukraine, Kazakhstan and Kyrgyzstan, and is widely used, although without official imprimatur, in Latvia, Estonia and many other countries that form the constituent republics of the former Soviet Union.","Lugha ya kirusi ni lugha ya kislavoni inayoongelewa kama lugha ya asili huko Urusi, Belarusi, Ukraine, Kazakhstan na Kyrgyzstan, na pia inatumika sana, ijapokuwa si kama lugha rasmi huko Latvia, Estonia na nchi nyingine nyingi zilizokuwa ni jamhuri katika Umoja wa Sovieti wa zamani."
It's not that simple.,Si rahisi hivyo.
Burj Khalifa is currently the tallest skyscraper in the world.,"Kwa sasa, Burj Khalifa ni jengo refu zaidi duniani."
I'm in the kitchen.,Nipo jikoni.
Where is Mary?,Mary yuko wapi?
Where is Tom?,Tom yuko wapi?
Where's Tom?,Tom yuko wapi?
Look at that photo.,Tizama hii picha.
This is my cat.,Hii paka ni yangu.
The boy is jumping.,Mvulana anaruka.
The horse is jumping.,Farasi anaruka.
What's your name?,Jina lako ni nani?
"Hello, what's your name?","Jambo, jina lako ni nani?"
I don't understand you.,Sikuelewi.
I don't understand.,Sielewi.
I drink water.,Nanywa maji.
Where are the books?,Vitabu viko wapi?
It doesn't matter.,Sawa.
No worries.,Hakuna matata.
All of these sentences need a full stop.,Sentensi hizi zote zinahitaji kikomo.
I don't know you.,Sikujui.
I want bread.,Ninataka mkate.
Tláloc likes to travel.,Tlaloc anapenda kusafiri.
Tláloc likes travelling.,Tlaloc anapenda kusafiri.
Water is life.,Maji ni uhai.
Languages have hard words.,Lugha zina maneno magumu.
"If he had had time, he would have gone.",Angalikuwa na nafasi angalikwenda.
I ate eggs yesterday.,Nilikula mayai jana.
My children live in New York.,Watoto wangu wanaishi katika New York.
For how long will you stay?,Utakaa muda ghani?
"If I don't eat, I will die.",Nisipokula nitakufa.
We didn't see any children at all.,Hatukuona watoto wo wote.
We didn't see a single game.,Hatukuona michezo yo yote.
What's this thing used for?,Kazi yake nini kitu hiki?
Hi!,Jambo!
Good question.,Swali nzuri.
I have a question.,Nina swali.
I felt ill.,Nilijisikia vibaya.
I felt bad.,Nilijisikia vibaya.
He is a good student.,Yeye ni mwanafunzi mzuri.
I don't know what to say...,Sijui niambie nini...
Elephants eat grass.,Tembo wanakula nyasi.
"If you don't understand, ask.","Usipoelewa, uliza."
"If you do not understand, ask.","Usipoelewa, uliza."
It's not important.,Si ya maana.
It's not important.,Si muhimu.
It isn't important.,Si muhimu.
Languages have difficult words.,Lugha zina maneno magumu.
Stay home.,Kaa nyumbani.
Why!,Kwa nini!?
"Alright, OK.","Sawa, sawa"
Happy New Year!,Heri ya mwaka mpya!
Millie doesn't drink water.,Millie hanywi maji.
We want complete sentences.,Tunataka misemwa inayoenea.
I'm French and she's American.,Mimi ni Mfaransa na yeye ni Mamerika.
I am French and she is American.,Mimi ni Mfaransa na yeye ni Mamerika.
I'm French and he's American.,Mimi ni Mfaransa na yeye ni Mamerika.
I am French and he is American.,Mimi ni Mfaransa na yeye ni Mamerika.
Who's she?,Yeye ni nani?
Who is she?,Yeye ni nani?
The tank is empty.,Tangi ni tupu.
The tank is full.,Tangi limejaa.
What is my room number?,Chumba changu ni namba ngapi?
There was nobody.,Hapakuwa na mtu.
You must go home.,Lazima uende nyumbani.
Tom is a teacher.,Tom ni mwalimu.
Tom is at school.,Tom yuko shuleni.
Tom was at school.,Tom alikuwa shuleni.
There's no reason to be afraid.,Hakuna sababu ya kuogopa.
What is the price?,Bei gani?
I'm ready.,Nimemaliza.
The car is out of order.,Gari limeharibika.
How much must I pay?,Nilipe kiasi gani?
When will we arrive?,Tutafika lini?
Go straight ahead.,Nenda moja kwa moja.
Please close the window.,Tafadhali funga dirisha.
I'm thirty now.,Niko na miaka thelathini sasa.
"Good morning, people!",Habari za asubuhi watu!
She needs help.,Anahitaji msaada.
I'm happy.,Ninafurahi.
I'm not happy.,Sifurahi.
I know that I know.,Najua kwamba najua.
I don't want any bananas at all.,Sitaki ndizi zozote.
What's my room number?,Chumba changu ni namba ngapi?
I don't want any milk at all.,Sitaki maziwa yoyote.
I don't want anybody at all.,Sitaki watu wo wote.
I've had enough of your anti-science poverty.,Nimetosha na umaskini wako wa kupinga sayansi.
You wanted to tell me about freedom?,Ulitaka kunieleza kuhusu uhuru?
I started learning Chinese last week.,Nilianza kujifunza Kichina juma lililopita.
You are a good student.,Wewe ni mwanafunzu mzuri.
You have to turn in the reports on Monday.,Lazima uwasilishe ripoti Jumatatu.
What do you intend to do?,Unanua kufanya nini?
Where are you from in Canada?,Unatoka wapi huko Kanada?
"You always like to trip me up, don't you?","Unapenda kunifanyia mzaha, sio?"
Prices are high these days.,Bei ziko juu mno siku hizi.
The bridge is open to traffic.,Daraja liko wazi kwa trafiki.
"Fish, please.","Samaki, tafadhali"
You'll miss the train if you don't hurry.,Utaachwa na garimoshi usipoharakisha.
Discussion is based upon mutual respect.,Majadiliano yanategemea kustahiana.
"In the days of the knights, they wore shields to protect themselves from sword-fight wounds.","Katika siku za vita, walivaa ngao kujilinda na majeraha ya mapanga."
We can say that Japan was fighting a constant battle against hunger during the war.,Tunaweza kusema kuwa Japan ilikuwa ikipigana vita vya mara kwa mara dhidi ya njaa wakati wa vita.
"If the quality of your product meets with our customer's approval, we will place regular orders.","Ikiwa ubora wa bidhaa yako inafurahisha wateja wetu, tutaweka maagizo ya kila mara."
"During the press conference, the President touched on foreign relations.","Wakati wa mkutano na waandishi wa habari, Rais alizungumza kuhusu uhusiano wa nje."
"A whistle blew, and the boat slowly began to pull out of port.","Filimbi ililia, na mashua ikaanza polepole kutoka bandarini."
I met Naomi on my way home and we had a chat.,Nilikutana na Naomi nilipokuwa nikirudi nyumbani na tukawa na mazungumzo.
"After having fought many hard battles, we were able to bring home the bacon and set up a new government.","Baada ya kupigana vita vingi ngumu, tuliweza kuleta matekeo ya maana na kuanzisha serikali mpya."
"Strange to say, he didn't know the news.","Ni ajabu kusema, hakuwa anajua taarifa."
Billy often hits his face against windows.,Mara nyingi Billy hugonga uso wake madirishani.
If it becomes stubborn indeed it stands alone.,Ikiwa inakuwa mkaidi kweli inasimama peke yake.
The audience was excited at the game.,Hadhira walifurahia mchezo.
He left his team as he could not get along with the manager.,Aliacha timu yake kwa kuwa hakuelewana na meneja.
Shouts of joy burst forth.,Shangwe na nderemo zilisikika.
I beat him completely in the debate.,Nilimshinda kabisa kwenye mjadala.
You have our permission to include our software on condition that you send us a copy of the final product.,Una ruhusa yetu kujumuisha programu yetu kwa sharti kwamba ututumie nakala ya bidhaa ya mwisho.
An old oak is groaning in the storm.,Mwaloni mzee anaguruma katika dhoruba.
My forehead burned with fever.,Kisogo changu kiliungua kwa joto kali.
I graduated from the school.,Nilihitimu kutoka shule.
Remember to post the letter on your way to school.,Kumbuka kutuma barua unapoelekea shule.
This was third school shooting incident in six months.,Hili lilikuwa tukio la tatu laq ufiatuaji risasi katika shule ndani ya miezi sita.
"Indeed she is young and beautiful, but she is in delicate health.","Hakika yeye ni mchanga na mrembo, lakini ana afya dhaifu."
"If you shout from the top of a cliff, you can hear the echo of your voice.","Ukipiga kelele juu ya mwamba, unaweza kusikia mwangwi wa sauti yako."
A cellar was dug on top of the hill and they slowly moved the house from the road to the hill.,Pishi lilichimbwa juu ya kilima na polepole walihama nyumba hiyo kutoka barabarani kwenda kilimani.
All aboard!,Wote ndani!
"All right, everyone, let's not stand on ceremony tonight. Cheers!","Haya, kila mtu, na tusisimame kwenye sherehe leo jioni. Chereko!"
Everybody took a hostile attitude toward illegal aliens.,Kila mtu alikuwa na mtazamo wa uhasama kwa wageni haramu.
The pirates buried their treasure in the ground.,Maharamia walizika hazina yao ardhini.
"By studying overseas, students can come into contact with other manners and customs.","Kwa kusoma ng'ambo, wanafunzi wanaweza kutangamana na tabia na mila zingine."
"If you go underwater, hold your nose and blow to clear your ears.","Ikiwa unaenda chini ya maji, shika pua yako na pigo ili kusafisha masikio yako."
There go the twelve bars blues.,Inapitia vipigwa kumi na viwili.
"Hearing the monster's footsteps, they began running in all directions.","Kusikia nyayo za mizimu, wakaanza kukimbia pande zote."
We could hear the groans of the injured man.,Tuliweza kusikia miguno ya mtu aliyejeruhiwa.
Finding a solution that worked was a process of trial and error.,Kupata suluhisho lililofanya kazi ilikuwa mchakato wa kubahatisha.
His official title at the company is Assistant to the President.,Jina lake rasmi katika kampuni hiyo ni Msaidizi wa Rais.
My stomach started growling right there in the meeting. It was embarrassing.,Tumbo langu lilianza kuguruma papo hapo kwenye mkutano. Ilikuwa aibu.
"Meetings are to be held on the afternoon of July 15 (Tuesday), all day July 16 (Wednesday), and the morning of July 17 (Thursday).","Mikutano inapaswa kufanywa alasiri ya Julai 15 (Jumanne), siku nzima Julai 16 (Jumatano), na asubuhi ya Julai 17 (Alhamisi)."
It would help us if you would reserve the following hotel during our conference.,Ungetusaidia kama ungetuhifadhia hoteli ifuatayo wakati wa kongamano letu.
The artist captured the charm of the lady.,Msanii huyo aliteka nadhiri za huyo binti.
Our company has annual sales of a thousand million yen.,Kampuni yetu ina mauzo ya yen elfu milioni.
"We are, in large measure, responsible for students' success in the entrance exam.",Tunawajibika kwa kiwango kikubwa ufanisi wa wanafanzi katika mtihani wa kuingia.
We are entitled to vote at the age of twenty.,Tunastahili kupiga kura katika umri wa miaka ishirini.
We sang songs in chorus.,Tuliimba nyimbo kwa kwaya.
We did our best only to fail.,Tulifanya bidii yetu tu kutofaulu.
We have to bring our teaching methods up to date.,Lazima tuboreshe mbinu zetu za kufundisha.
We're booked for the whole month on Broadway.,Nafasi zote zimehifadhiwa kwa mwezi mzima Broadway.
We are familiar with the legend of Robin Hood.,Tunajua hadithi ya Robin Hood.
